CNO,START,END,CYTOBAND,GSYM,GENE_ALIAS,,GENE_NAME,GENE_TYPE,GPATTERN
20,54400000,62435964,20q13.3,CDH4,CAD4|RCAD,HGNC:1763|MIM:603006|Ensembl:ENSG00000179242|HPRD:04304|Vega:OTTHUMG00000032890,"cadherin 4, type 1, R-cadherin (retinal)",protein-coding,"R-CAD|R-cadherin|cadherin 4, type 1, preproprotein|cadherin-4|retinal cadherin"
3,44700000,51400000,3p21.31,MIR1226,MIRN1226|hsa-mir-1226,HGNC:33922|miRBase:MI0006313,microRNA 1226,miscRNA,-
11,0,2800000,11p15.5,TSPAN32,ART1|PHEMX|PHMX|TSSC6,HGNC:13410|MIM:603853|Ensembl:ENSG00000064201|HPRD:04834|Vega:OTTHUMG00000009762,tetraspanin 32,protein-coding,pan-hematopoietic expression protein|protein Phemx|tetraspanin-32|tspan-32|tumor-suppressing STF cDNA 6|tumor-suppressing subchromosomal transferable fragment cDNA 6|tumor-suppressing subtransferable candidate 6
11,0,2800000,11p15.5,TSSC4,-,HGNC:12386|MIM:603852|Ensembl:ENSG00000184281|HPRD:10357|Vega:OTTHUMG00000009895,tumor suppressing subtransferable candidate 4,protein-coding,protein TSSC4|tumor-suppressing STF cDNA 4 protein|tumor-suppressing subchromosomal transferable fragment candidate gene 4 protein
16,56700000,65200000,16q21,CDH11,CAD11|CDHOB|OB|OSF-4,HGNC:1750|MIM:600023|Ensembl:ENSG00000140937|HPRD:08960|Vega:OTTHUMG00000137494,"cadherin 11, type 2, OB-cadherin (osteoblast)",protein-coding,cadherin-11
16,80500000,82700000,16q23.3,CDH13,CDHH|P105,HGNC:1753|MIM:601364|Ensembl:ENSG00000140945|HPRD:03219,"cadherin 13, H-cadherin (heart)",protein-coding,H-cadherin|T-cad|T-cadherin|cadherin-13|heart cadherin
2,197100000,209100000,2q33,ABI2,ABI-2|ABI2B|AIP-1|AblBP3|SSH3BP2|argBPIA|argBPIB,HGNC:24011|MIM:606442|Ensembl:ENSG00000138443|Vega:OTTHUMG00000132879,abl-interactor 2,protein-coding,abelson interactor 2|abl binding protein 3|abl interactor 2|abl-binding protein 3|abl-interacting protein 1 (SH3-containing protein)|abl-interactor protein 2b|arg protein tyrosine kinase-binding protein|arg-binding protein 1|argBP1
12,102400000,107500000,12q23.3,PLXNC1,CD232|PLXN-C1|VESPR,HGNC:9106|MIM:604259|Ensembl:ENSG00000136040|HPRD:05036|Vega:OTTHUMG00000170235,plexin C1,protein-coding,plexin (semaphorin receptor)|plexin-C1|receptor for viral semaphorin protein|receptor for virally-encoded semaphorin|virus-encoded semaphorin protein receptor
3,43600000,51400000,3p21.3,RBM6,3G2|DEF-3|DEF3|HLC-11|NY-LU-12|g16,HGNC:9903|MIM:606886|Ensembl:ENSG00000004534|HPRD:06054|Vega:OTTHUMG00000156736,RNA binding motif protein 6,protein-coding,RNA-binding motif protein 6|RNA-binding protein 6|RNA-binding protein DEF-3|lung cancer antigen NY-LU-12|lung cancer protooncogene 11
3,43600000,51400000,3p21.3,RBM5,G15|LUCA15|RMB5,HGNC:9902|MIM:606884|Ensembl:ENSG00000003756|HPRD:06052|Vega:OTTHUMG00000156785,RNA binding motif protein 5,protein-coding,RNA-binding protein 5|putative tumor suppressor LUCA15|renal carcinoma antigen NY-REN-9
