CNO,START,END,ORGAN,CANCER,CANCER_TYPE
1,47851,727088,pancreas,carcinoma,NS
1,61735,2545650,ovary,carcinoma,serous_carcinoma
1,61735,4286684,ovary,carcinoma,serous_carcinoma
1,61735,8347361,large_intestine,carcinoma,adenocarcinoma
1,61735,121482979,large_intestine,carcinoma,adenocarcinoma
1,228305,865694,pancreas,carcinoma,NS
1,521581,911916,pancreas,carcinoma,NS
1,565374,1557762,pancreas,carcinoma,NS
1,724519,873558,pancreas,carcinoma,NS
1,752566,1245368,pancreas,carcinoma,NS
1,752566,838555,pancreas,carcinoma,NS
1,752566,1079198,pancreas,carcinoma,NS
1,752566,11702155,pancreas,carcinoma,NS
1,752566,1061262,pancreas,carcinoma,NS
1,752566,1551927,pancreas,carcinoma,NS
1,752566,2943183,pancreas,carcinoma,NS
1,752566,58864175,pancreas,carcinoma,NS
1,752566,20899016,pancreas,carcinoma,NS
1,752566,5279622,pancreas,carcinoma,NS
1,752566,17872028,pancreas,carcinoma,NS
1,752566,3493850,pancreas,carcinoma,NS
1,752566,8200690,pancreas,carcinoma,NS
1,752566,4590550,pancreas,carcinoma,NS
1,752566,22688484,pancreas,carcinoma,NS
1,752566,4390289,pancreas,carcinoma,NS
1,837085,3696639,ovary,carcinoma,serous_carcinoma
1,839103,1110586,pancreas,carcinoma,NS
1,873558,1222963,pancreas,carcinoma,NS
1,947809,1341185,pancreas,carcinoma,NS
1,990839,1333436,ovary,carcinoma,serous_carcinoma
1,1062638,21050719,pancreas,carcinoma,NS
1,1087683,1241746,pancreas,carcinoma,NS
1,1113121,1356550,pancreas,carcinoma,NS
1,1210471,1229770,pancreas,carcinoma,NS
1,1217011,1222963,pancreas,carcinoma,NS
1,1222051,1357219,pancreas,carcinoma,NS
1,1244638,3794273,pancreas,carcinoma,NS
1,1246004,3651318,pancreas,carcinoma,NS
1,1359819,1390228,pancreas,carcinoma,NS
1,1359819,1479333,pancreas,carcinoma,NS
1,1359819,1367193,pancreas,carcinoma,NS
1,1380567,1469033,pancreas,carcinoma,NS
1,1425700,1485984,pancreas,carcinoma,NS
1,1453602,19843683,ovary,carcinoma,serous_carcinoma
1,1469478,3383898,pancreas,carcinoma,NS
1,1521371,1603594,pancreas,carcinoma,NS
1,1557890,2318653,pancreas,carcinoma,NS
1,1558792,1947755,pancreas,carcinoma,NS
1,1619542,1680218,liver,carcinoma,hepatocellular_carcinoma
1,1619542,1680218,liver,carcinoma,hepatocellular_carcinoma
1,1692321,1814460,ovary,carcinoma,serous_carcinoma
1,1727391,2427712,pancreas,carcinoma,NS
1,1874581,1930754,pancreas,carcinoma,NS
1,1916587,2024824,pancreas,carcinoma,NS
1,1950621,31824023,pancreas,carcinoma,NS
1,2033256,2117558,pancreas,carcinoma,NS
1,2113565,2169079,pancreas,carcinoma,NS
1,2149421,3401131,breast,carcinoma,NS
1,2218100,2522392,pancreas,carcinoma,NS
1,2231463,2524915,pancreas,carcinoma,NS
1,2280423,2292634,large_intestine,carcinoma,adenocarcinoma
1,2292634,2505713,endometrium,carcinoma,endometrioid_carcinoma
1,2319428,2357810,pancreas,carcinoma,NS
1,2325371,2473258,pancreas,carcinoma,NS
1,2359280,3297281,pancreas,carcinoma,NS
1,2369498,2467595,ovary,carcinoma,serous_carcinoma
1,2401579,2493611,pancreas,carcinoma,NS
1,2430617,2517851,pancreas,carcinoma,NS
1,2519810,3576060,pancreas,carcinoma,NS
1,2599445,2693203,pancreas,carcinoma,NS
1,2599445,2633278,pancreas,carcinoma,NS
1,2694040,3084032,pancreas,carcinoma,NS
1,2906842,2926555,ovary,carcinoma,serous_carcinoma
1,2917760,3526711,pancreas,carcinoma,NS
1,2944527,9526979,pancreas,carcinoma,NS
1,3107384,3203121,pancreas,carcinoma,NS
1,3111119,3169566,pancreas,carcinoma,NS
1,3297638,13817281,pancreas,carcinoma,NS
1,3300807,3497109,pancreas,carcinoma,NS
1,3324243,3405296,pancreas,carcinoma,NS
1,3326170,4177898,large_intestine,carcinoma,adenocarcinoma
1,3389727,3397564,pancreas,carcinoma,NS
1,3389727,3402721,pancreas,carcinoma,NS
1,3389727,3400294,pancreas,carcinoma,NS
1,3404227,5745339,pancreas,carcinoma,NS
1,3494079,3547769,pancreas,carcinoma,NS
1,3500575,3789852,pancreas,carcinoma,NS
1,3546935,3568162,pancreas,carcinoma,NS
1,3548050,12842139,pancreas,carcinoma,NS
1,3576197,4769825,pancreas,carcinoma,NS
1,3577322,3616600,liver,carcinoma,hepatocellular_carcinoma
1,3653426,6599041,pancreas,carcinoma,NS
1,3796948,17318065,pancreas,carcinoma,NS
1,4364564,4381016,large_intestine,carcinoma,adenocarcinoma
1,4381016,4424145,large_intestine,carcinoma,adenocarcinoma
1,4385250,4424145,large_intestine,carcinoma,adenocarcinoma
1,4395812,16821365,pancreas,carcinoma,NS
1,4407985,4414716,lung,carcinoma,squamous_cell_carcinoma
1,4578495,4582089,pancreas,carcinoma,NS
1,4583552,6151944,ovary,carcinoma,serous_carcinoma
1,4586306,6599041,pancreas,carcinoma,NS
1,4590969,4598965,pancreas,carcinoma,NS
1,4599243,4824311,pancreas,carcinoma,NS
1,4693931,4733793,large_intestine,carcinoma,adenocarcinoma
1,4696092,4732132,large_intestine,carcinoma,adenocarcinoma
1,4696371,4731677,large_intestine,carcinoma,adenocarcinoma
1,4699334,4732334,large_intestine,carcinoma,adenocarcinoma
1,4704044,4732320,large_intestine,carcinoma,adenocarcinoma
1,4706521,4723818,pancreas,carcinoma,NS
1,4778232,6284680,pancreas,carcinoma,NS
1,4828063,7840926,pancreas,carcinoma,NS
1,4912883,4975472,endometrium,carcinoma,endometrioid_carcinoma
1,4971217,5005775,large_intestine,carcinoma,adenocarcinoma
1,4976488,5001923,endometrium,carcinoma,endometrioid_carcinoma
1,4986435,5009664,large_intestine,carcinoma,adenocarcinoma
1,5001923,5012038,large_intestine,carcinoma,adenocarcinoma
1,5002367,5005921,ovary,carcinoma,serous_carcinoma
1,5149989,5220762,large_intestine,carcinoma,adenocarcinoma
1,5154565,5259924,pancreas,carcinoma,NS
1,5280502,17330453,pancreas,carcinoma,NS
1,5297845,5308302,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,5325924,5362292,large_intestine,carcinoma,adenocarcinoma
1,5368747,5387261,large_intestine,carcinoma,adenocarcinoma
1,5469365,8130840,ovary,carcinoma,serous_carcinoma
